runtime: 6.76
runtime: 0.00
(32, 32)  3   db2 error 6.161e-11 True
         1033043 function calls (1021110 primitive calls) in 15.470 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      734    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      145    0.000    0.000    0.003    0.000 deprecation.py:168(deprecate)
     2476    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
  205/137    0.000    0.000    0.004    0.000 typing.py:347(__getitem__)
       68    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   260/11    0.000    0.000    0.002    0.000 pyparsing.py:1647(_parseNoCache)
       30    0.000    0.000    0.001    0.000 function_base.py:23(linspace)
       70    0.000    0.000    0.005    0.000 __init__.py:1364(_preprocess_data)
     3074    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
     2678    0.000    0.000    0.001    0.000 enum.py:562(__new__)
       11    0.000    0.000    0.034    0.003 artist.py:1386(pprint_setters)
      434    0.000    0.000    0.001    0.000 typing.py:172(_collect_type_vars)
  156/137    0.000    0.000    0.002    0.000 typing.py:187(_subs_tvars)
     1140    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
     3926    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     3838    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1724    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       46    0.000    0.000    0.000    0.000 {method 'flatten' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 streams.py:115(Event)
      616    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
       32    0.000    0.000    0.004    0.000 colors.py:776(from_list)
     2506    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
     2248    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
     1504    0.000    0.000    0.002    0.000 re.py:188(match)
     5730    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      830    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._rpc_init}
       43    0.000    0.000    0.000    0.000 {built-in method io.open}
       12    0.000    0.000    0.001    0.000 artist.py:1273(<listcomp>)
        1    0.000    0.000    0.022    0.022 backend_qt5.py:1(<module>)
      233    0.000    0.000    0.000    0.000 pyparsing.py:1400(__init__)
      466    0.000    0.000    0.002    0.000 deprecation.py:9(wrap)
      734    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
     1591    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
       96    0.000    0.000    0.002    0.000 shape_base.py:358(stack)
       16    0.000    0.000    0.002    0.000 {built-in method builtins.eval}
      127    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     3062    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_unary}
   1080/5    0.000    0.000    0.542    0.108 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        3    0.000    0.000    0.000    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
     1126    0.000    0.000    0.001    0.000 colors.py:124(_is_nth_color)
        1    0.000    0.000    0.000    0.000 axes3d.py:44(Axes3D)
      425    0.000    0.000    0.001    0.000 artist.py:1363(aliased_name)
      398    0.000    0.000    0.001    0.000 font_manager.py:962(_json_decode)
      841    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2203    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     1823    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
       63    0.000    0.000    0.001    0.000 colors.py:848(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._autograd_init}
      718    0.000    0.000    0.014    0.000 inspect.py:3091(signature)
      428    0.000    0.000    0.003    0.000 rcsetup.py:360(validate_color)
       35    0.000    0.000    0.001    0.000 enum.py:176(<setcomp>)
        1    0.000    0.000    0.000    0.000 fake_quantize.py:13(FakeQuantizeBase)
     1163    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      207    0.000    0.000    0.001    0.000 enum.py:833(__and__)
      331    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
2446/2077    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      410    0.000    0.000    0.001    0.000 copy.py:258(_reconstruct)
        1    0.000    0.000   15.471   15.471 matmul_transform_2d.py:3(<module>)
       26    0.000    0.000    0.002    0.000 traceback.py:321(extract)
       24    0.000    0.000    0.000    0.000 conv_transform.py:110(outer)
      137    0.000    0.000    0.003    0.000 typing.py:677(__getitem__)
      718    0.000    0.000    0.013    0.000 inspect.py:2839(from_callable)
        6    0.000    0.000    0.000    0.000 {method 'transpose' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 backend_registry.py:2(<module>)
      137    0.000    0.000    0.000    0.000 typing.py:219(_remove_dups_flatten)
      321    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       96    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
      774    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1693    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      820    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      934    0.000    0.000    0.000    0.000 {built-in method torch._C._add_docstr}
        4    0.000    0.000    0.068    0.017 functional.py:1(<module>)
     2882    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      548    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      274    0.000    0.000    0.001    0.000 function_base.py:451(add_newdoc)
       96    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
     4955    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      841    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
